County,County Code,Age Group,Population
"Platte County, WY",56031,0-4 years,448
"Platte County, WY",56031,5-9 years,510
"Platte County, WY",56031,10-14 years,544
"Platte County, WY",56031,15-19 years,447
"Platte County, WY",56031,20-24 years,365
"Platte County, WY",56031,25-29 years,422
"Platte County, WY",56031,30-34 years,430
"Platte County, WY",56031,35-39 years,501
"Platte County, WY",56031,40-44 years,439
"Platte County, WY",56031,45-49 years,459
"Platte County, WY",56031,50-54 years,524
"Platte County, WY",56031,55-59 years,621
"Platte County, WY",56031,60-64 years ,696
"Platte County, WY",56031,65-69 years,651
"Platte County, WY",56031,70-74 years,609
"Platte County, WY",56031,75-79 years,439
"Platte County, WY",56031,80-84 years,277
"Platte County, WY",56031,85+ years,241
"Sheridan County, WY",56033,0-4 years,1538
"Sheridan County, WY",56033,5-9 years,1757
"Sheridan County, WY",56033,10-14 years,2068
"Sheridan County, WY",56033,15-19 years,1915
"Sheridan County, WY",56033,20-24 years,1659
"Sheridan County, WY",56033,25-29 years,1695
"Sheridan County, WY",56033,30-34 years,1820
"Sheridan County, WY",56033,35-39 years,1932
"Sheridan County, WY",56033,40-44 years,1923
"Sheridan County, WY",56033,45-49 years,1765
"Sheridan County, WY",56033,50-54 years,1785
"Sheridan County, WY",56033,55-59 years,2049
"Sheridan County, WY",56033,60-64 years ,2380
"Sheridan County, WY",56033,65-69 years,2375
"Sheridan County, WY",56033,70-74 years,1790
"Sheridan County, WY",56033,75-79 years,1178
"Sheridan County, WY",56033,80-84 years,706
"Sheridan County, WY",56033,85+ years,661
"Sublette County, WY",56035,0-4 years,416
"Sublette County, WY",56035,5-9 years,517
"Sublette County, WY",56035,10-14 years,621
"Sublette County, WY",56035,15-19 years,494
"Sublette County, WY",56035,20-24 years,394
"Sublette County, WY",56035,25-29 years,411
"Sublette County, WY",56035,30-34 years,489
"Sublette County, WY",56035,35-39 years,584
"Sublette County, WY",56035,40-44 years,616
"Sublette County, WY",56035,45-49 years,588
"Sublette County, WY",56035,50-54 years,514
"Sublette County, WY",56035,55-59 years,603
"Sublette County, WY",56035,60-64 years ,630
"Sublette County, WY",56035,65-69 years,635
"Sublette County, WY",56035,70-74 years,525
"Sublette County, WY",56035,75-79 years,371
"Sublette County, WY",56035,80-84 years,170
"Sublette County, WY",56035,85+ years,145
"Sweetwater County, WY",56037,0-4 years,2569
"Sweetwater County, WY",56037,5-9 years,2931
"Sweetwater County, WY",56037,10-14 years,3436
"Sweetwater County, WY",56037,15-19 years,3055
"Sweetwater County, WY",56037,20-24 years,2559
"Sweetwater County, WY",56037,25-29 years,2587
"Sweetwater County, WY",56037,30-34 years,2983
"Sweetwater County, WY",56037,35-39 years,3224
"Sweetwater County, WY",56037,40-44 years,3028
"Sweetwater County, WY",56037,45-49 years,2502
"Sweetwater County, WY",56037,50-54 years,2261
"Sweetwater County, WY",56037,55-59 years,2592
"Sweetwater County, WY",56037,60-64 years ,2803
"Sweetwater County, WY",56037,65-69 years,2254
"Sweetwater County, WY",56037,70-74 years,1532
"Sweetwater County, WY",56037,75-79 years,903
"Sweetwater County, WY",56037,80-84 years,531
"Sweetwater County, WY",56037,85+ years,408
"Teton County, WY",56039,0-4 years,1090
"Teton County, WY",56039,5-9 years,1113
"Teton County, WY",56039,10-14 years,1290
"Teton County, WY",56039,15-19 years,1034
"Teton County, WY",56039,20-24 years,1172
"Teton County, WY",56039,25-29 years,1857
"Teton County, WY",56039,30-34 years,1947
"Teton County, WY",56039,35-39 years,2004
"Teton County, WY",56039,40-44 years,1829
"Teton County, WY",56039,45-49 years,1726
"Teton County, WY",56039,50-54 years,1503
"Teton County, WY",56039,55-59 years,1426
"Teton County, WY",56039,60-64 years ,1567
"Teton County, WY",56039,65-69 years,1349
"Teton County, WY",56039,70-74 years,1115
"Teton County, WY",56039,75-79 years,678
"Teton County, WY",56039,80-84 years,319
"Teton County, WY",56039,85+ years,328
"Uinta County, WY",56041,0-4 years,1284
"Uinta County, WY",56041,5-9 years,1621
"Uinta County, WY",56041,10-14 years,1769
"Uinta County, WY",56041,15-19 years,1537
"Uinta County, WY",56041,20-24 years,1053
"Uinta County, WY",56041,25-29 years,1128
"Uinta County, WY",56041,30-34 years,1203
"Uinta County, WY",56041,35-39 years,1423
"Uinta County, WY",56041,40-44 years,1332
"Uinta County, WY",56041,45-49 years,1212
"Uinta County, WY",56041,50-54 years,1061
"Uinta County, WY",56041,55-59 years,1254
"Uinta County, WY",56041,60-64 years ,1447
"Uinta County, WY",56041,65-69 years,1273
"Uinta County, WY",56041,70-74 years,838
"Uinta County, WY",56041,75-79 years,523
"Uinta County, WY",56041,80-84 years,249
"Uinta County, WY",56041,85+ years,234
"Washakie County, WY",56043,0-4 years,385
"Washakie County, WY",56043,5-9 years,419
"Washakie County, WY",56043,10-14 years,533
"Washakie County, WY",56043,15-19 years,539
"Washakie County, WY",56043,20-24 years,342
"Washakie County, WY",56043,25-29 years,353
"Washakie County, WY",56043,30-34 years,402
"Washakie County, WY",56043,35-39 years,475
"Washakie County, WY",56043,40-44 years,475
"Washakie County, WY",56043,45-49 years,425
"Washakie County, WY",56043,50-54 years,460
"Washakie County, WY",56043,55-59 years,529
"Washakie County, WY",56043,60-64 years ,593
"Washakie County, WY",56043,65-69 years,540
"Washakie County, WY",56043,70-74 years,430
"Washakie County, WY",56043,75-79 years,332
"Washakie County, WY",56043,80-84 years,219
"Washakie County, WY",56043,85+ years,207
"Weston County, WY",56045,0-4 years,317
"Weston County, WY",56045,5-9 years,404
"Weston County, WY",56045,10-14 years,400
"Weston County, WY",56045,15-19 years,386
"Weston County, WY",56045,20-24 years,281
"Weston County, WY",56045,25-29 years,348
"Weston County, WY",56045,30-34 years,378
"Weston County, WY",56045,35-39 years,517
"Weston County, WY",56045,40-44 years,420
"Weston County, WY",56045,45-49 years,353
"Weston County, WY",56045,50-54 years,391
"Weston County, WY",56045,55-59 years,552
"Weston County, WY",56045,60-64 years ,563
"Weston County, WY",56045,65-69 years,557
"Weston County, WY",56045,70-74 years,365
"Weston County, WY",56045,75-79 years,222
"Weston County, WY",56045,80-84 years,170
"Weston County, WY",56045,85+ years,185
